prime,gap_from_prev,checks_for_prime,mods_since_last_prime,tested_since_last_prime,avg_tests_per_number,max_sqrt_seen_in_span
2,,0,0,1,0.0,1
3,1,0,0,1,0.0,1
5,2,1,2,2,1.0,2
7,2,1,2,2,1.0,2
11,4,2,6,4,1.5,3
13,2,2,3,2,1.5,3
17,4,3,7,4,1.75,4
19,2,3,4,2,2.0,4
23,4,3,7,4,1.75,4
29,6,4,13,6,2.1666666666666665,5
31,2,4,5,2,2.5,5
37,6,5,14,6,2.3333333333333335,6
41,4,5,9,4,2.25,6
43,2,5,6,2,3.0,6
47,4,5,9,4,2.25,6
53,6,6,17,6,2.8333333333333335,7
59,6,6,15,6,2.5,7
61,2,6,7,2,3.5,7
67,6,7,16,6,2.6666666666666665,8
71,4,7,11,4,2.75,8
73,2,7,8,2,4.0,8
79,6,7,18,6,3.0,8
83,4,8,12,4,3.0,9
89,6,8,17,6,2.8333333333333335,9
97,8,8,24,8,3.0,9
101,4,9,13,4,3.25,10
103,2,9,10,2,5.0,10
107,4,9,13,4,3.25,10
109,2,9,10,2,5.0,10
113,4,9,13,4,3.25,10
127,14,10,45,14,3.2142857142857144,11
131,4,10,14,4,3.5,11
137,6,10,21,6,3.5,11
139,2,10,11,2,5.5,11
149,10,11,34,10,3.4,12
151,2,11,12,2,6.0,12
157,6,11,20,6,3.3333333333333335,12
163,6,11,22,6,3.6666666666666665,12
167,4,11,15,4,3.75,12
173,6,12,29,6,4.833333333333333,13
179,6,12,21,6,3.5,13
181,2,12,13,2,6.5,13
191,10,12,35,10,3.5,13
193,2,12,13,2,6.5,13
197,4,13,17,4,4.25,14
199,2,13,14,2,7.0,14
211,12,13,43,12,3.5833333333333335,14
223,12,13,45,12,3.75,14
227,4,14,18,4,4.5,15
229,2,14,15,2,7.5,15
233,4,14,18,4,4.5,15
239,6,14,23,6,3.8333333333333335,15
241,2,14,15,2,7.5,15
251,10,14,39,10,3.9,15
257,6,15,30,6,5.0,16
263,6,15,26,6,4.333333333333333,16
269,6,15,24,6,4.0,16
271,2,15,16,2,8.0,16
277,6,15,24,6,4.0,16
281,4,15,19,4,4.75,16
283,2,15,16,2,8.0,16
293,10,16,47,10,4.7,17
307,14,16,53,14,3.7857142857142856,17
311,4,16,20,4,5.0,17
313,2,16,17,2,8.5,17
317,4,16,20,4,5.0,17
331,14,17,64,14,4.571428571428571,18
337,6,17,26,6,4.333333333333333,18
347,10,17,42,10,4.2,18
349,2,17,18,2,9.0,18
353,4,17,21,4,5.25,18
359,6,17,26,6,4.333333333333333,18
367,8,18,46,8,5.75,19
373,6,18,29,6,4.833333333333333,19
379,6,18,35,6,5.833333333333333,19
383,4,18,22,4,5.5,19
389,6,18,27,6,4.5,19
397,8,18,44,8,5.5,19
401,4,19,23,4,5.75,20
409,8,19,47,8,5.875,20
419,10,19,38,10,3.8,20
421,2,19,20,2,10.0,20
431,10,19,38,10,3.8,20
433,2,19,20,2,10.0,20
439,6,19,42,6,7.0,20
443,4,20,24,4,6.0,21
449,6,20,29,6,4.833333333333333,21
457,8,20,40,8,5.0,21
461,4,20,24,4,6.0,21
463,2,20,21,2,10.5,21
467,4,20,24,4,6.0,21
479,12,20,50,12,4.166666666666667,21
487,8,21,43,8,5.375,22
491,4,21,25,4,6.25,22
499,8,21,49,8,6.125,22
503,4,21,25,4,6.25,22
509,6,21,30,6,5.0,22
521,12,21,51,12,4.25,22
523,2,21,22,2,11.0,22
541,18,22,97,18,5.388888888888889,23
547,6,22,31,6,5.166666666666667,23
557,10,22,55,10,5.5,23
563,6,22,39,6,6.5,23
